name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
枫竹苑(二区),丰台,3,2,2,126㎡,中层(共15层),2003年建造,南北,距10号线角门西步行1.5km,860
首创禧瑞都,朝阳,4,2,3,378.2㎡,中层(共26层),,南北,距10号线金台夕照步行747m,6300
水碓子西里,朝阳,2,1,1,47.9㎡,低层(共6层),1981年建造,南,距10号线呼家楼步行923m,335
延静里小区,朝阳,2,1,1,54.1㎡,中层(共6层),1983年建造,南北,距10号线呼家楼步行1.9km,345
首城国际,朝阳,2,1,1,90.9㎡,低层(共28层),2010年建造,南,距10号线双井步行724m,940
富力城(A区),朝阳,2,1,1,80.7㎡,低层(共30层),2004年建造,北,距10号线双井步行383m,880
瑞新里小区,海淀,1,0,1,45.4㎡,中层(共10层),2007年建造,西北,距10号线慈寿寺步行1.9km,496
瑞新里小区,海淀,1,0,1,45.4㎡,中层(共10层),2007年建造,西北,距10号线慈寿寺步行1.9km,496
梵悦108,朝阳,1,2,1,97㎡,中层(共15层),2021年建造,南北,距10号线国贸步行543m,1060
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距10号线团结湖步行1.3km,1300
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距10号线团结湖步行1.3km,1300
华威西里,朝阳,1,1,1,44.3㎡,高层(共6层),1994年建造,南北,距10号线潘家园步行933m,253
富力城(A区),朝阳,2,2,1,86.5㎡,低层(共30层),2006年建造,西北,距10号线双井步行383m,913
首城国际,朝阳,2,2,1,88.2㎡,低层(共28层),2010年建造,南,距10号线双井步行724m,980
首城国际,朝阳,2,1,1,88㎡,中层(共20层),2010年建造,南,距10号线双井步行724m,990
万方景轩,朝阳,2,2,2,96.7㎡,低层(共21层),2005年建造,南北,距10号线太阳宫步行180m,860
北京电视台家属楼,海淀,2,2,1,83.3㎡,中层(共16层),2006年建造,东南,距10号线长春桥步行1.3km,1150
嘉里星源汇,朝阳,1,1,1,86㎡,中层(共21层),,东北,距10号线亮马桥步行871m,865
嘉里星源汇,朝阳,1,1,1,86㎡,中层(共21层),2009年建造,东北,距10号线亮马桥步行871m,865
世茂宫园,朝阳,3,2,2,224.3㎡,低层(共8层),2010年建造,南北,距10号线呼家楼步行543m,1800
小南庄社区,海淀,2,1,1,55.5㎡,地下(共7层),1993年建造,南北,距10号线苏州街步行1.5km,420
北京书院,朝阳,3,2,2,94㎡,低层(共21层),2020年建造,南北,距10号线惠新西街南口步行334m,958
太阳公元(北区),朝阳,2,2,1,89.8㎡,高层(共31层),,南,距10号线芍药居步行1km,1600
太阳公元(北区),朝阳,2,2,1,89.8㎡,高层(共31层),2011年建造,南,距10号线芍药居步行1km,1600
华腾园,朝阳,2,1,1,99.6㎡,高层(共28层),2002年建造,东南,距10号线劲松步行632m,725
首城国际,朝阳,2,1,1,90.9㎡,中层(共28层),2010年建造,南,距10号线双井步行724m,999
首城国际,朝阳,2,2,1,89.6㎡,高层(共28层),2010年建造,东南,距10号线双井步行724m,970
百环家园,朝阳,2,2,1,95.8㎡,高层(共28层),2005年建造,西南,距10号线双井步行615m,630
半岛国际公寓,朝阳,2,2,1,95.1㎡,中层(共18层),2006年建造,东南,距10号线太阳宫步行377m,938
首城国际,朝阳,3,1,1,89.1㎡,低层(共28层),2010年建造,南北,距10号线双井步行724m,930
万年花城玫瑰碗(万年花城三期),丰台,2,1,1,94㎡,中层(共16层),2006年建造,东南,距10号线首经贸步行744m,605
远大园四区,海淀,4,2,2,198.2㎡,低层(共8层),2000年建造,南北,距10号线车道沟步行1.1km,2350
山水文园中园,朝阳,6,2,4,258.7㎡,低层(共9层),2002年建造,南北,距10号线十里河步行1.3km,2300
东叁金茂府,丰台,4,2,3,160㎡,低层(共7层),2021年建造,南北,距10号线十里河步行1km,1400
万柳星标家园西区,海淀,3,2,2,156.6㎡,低层(共17层),2004年建造,东西,距10号线巴沟步行1.2km,2200
春荫园,海淀,3,2,2,134㎡,低层(共15层),2003年建造,南北,距10号线火器营步行1km,1680
金星园,朝阳,3,2,2,177㎡,低层(共16层),2008年建造,南北,距10号线三元桥步行1.1km,1848
百环家园,朝阳,2,2,1,95.8㎡,高层(共28层),2005年建造,西南,距10号线双井步行615m,625
北蜂窝中路甲8号院,海淀,1,1,1,55.1㎡,中层(共22层),2003年建造,西,距10号线莲花桥步行1.9km,565
山水文园中园,朝阳,3,2,2,128.9㎡,高层(共8层),2005年建造,南北,距10号线十里河步行1.3km,1300
鲁艺上河村(三区),海淀,5,3,4,290㎡,低层(共6层),2006年建造,南北,距10号线长春桥步行1km,5200
梵悦108,朝阳,1,1,1,106㎡,低层(共25层),2016年建造,南北,距10号线国贸步行543m,1188
远大园一区,海淀,2,2,2,122.4㎡,高层(共11层),2002年建造,南,距10号线长春桥步行1.5km,1400
万城华府尚园,海淀,5,2,3,349.9㎡,共5层,2006年建造,南北,距10号线巴沟步行1.1km,7500
观山园(蓝靛厂),海淀,3,2,2,164.3㎡,中层(共11层),2004年建造,南北,距10号线火器营步行765m,2300
观山园(蓝靛厂),海淀,3,2,2,172.6㎡,中层(共11层),2004年建造,南北,距10号线火器营步行765m,2480
观山园(蓝靛厂),海淀,3,2,2,172.6㎡,中层(共11层),2004年建造,南北,距10号线火器营步行765m,2480
玫瑰御园,海淀,3,2,2,152.6㎡,中层(共11层),2004年建造,南北,距10号线车道沟步行1.9km,1880
观山园(蓝靛厂),海淀,3,2,2,164.3㎡,中层(共11层),2004年建造,南北,距10号线火器营步行765m,2300
琨御府,海淀,3,2,2,153.7㎡,中层(共6层),2016年建造,南北,距10号线慈寿寺步行924m,2270
松榆西里,朝阳,3,1,1,105.7㎡,中层(共7层),1995年建造,东西,距10号线潘家园步行652m,599
观山园(蓝靛厂),海淀,3,2,2,172.6㎡,中层(共11层),2004年建造,南北,距10号线火器营步行765m,2480
金星园,朝阳,3,2,2,148㎡,低层(共22层),2008年建造,东南,距10号线三元桥步行1.1km,1419
垂虹园(蓝靛厂),海淀,3,2,2,163.2㎡,低层(共20层),2003年建造,东南,距10号线长春桥步行950m,1760
垂虹园(蓝靛厂),海淀,3,2,2,163.2㎡,低层(共20层),2003年建造,东南,距10号线长春桥步行950m,1760
垂虹园(蓝靛厂),海淀,3,2,2,163.2㎡,低层(共20层),2003年建造,东南,距10号线长春桥步行950m,1760
棕榈泉国际公寓,朝阳,3,2,2,239.7㎡,低层(共31层),2003年建造,东南,距10号线团结湖步行1.7km,1980
华腾园,朝阳,3,2,2,129.5㎡,低层(共28层),2000年建造,西北,距10号线劲松步行632m,698
垂虹园(蓝靛厂),海淀,3,2,2,163.2㎡,低层(共20层),2003年建造,东南,距10号线长春桥步行950m,1760
垂虹园(蓝靛厂),海淀,3,2,2,163.2㎡,低层(共20层),2003年建造,东南,距10号线长春桥步行950m,1760
未来假日花园(枫竹苑一区),丰台,3,2,2,264㎡,共4层,2002年建造,南北,距10号线角门西步行1.8km,1650
展春园小区,海淀,2,1,1,62.9㎡,中层(共6层),1992年建造,东西,距10号线知春路步行1.7km,600
东叁金茂府,丰台,3,2,2,125㎡,低层(共24层),2021年建造,南北,距10号线十里河步行1km,1250
康桥水郡,海淀,2,2,2,126.1㎡,中层(共14层),2013年建造,南北,距10号线长春桥步行1.4km,2100
广渠门外大街小区,朝阳,2,1,1,60.2㎡,中层(共13层),1984年建造,南,距10号线双井步行600m,380
康桥水郡,海淀,2,2,2,126.1㎡,中层(共14层),2003年建造,南北,距10号线长春桥步行1.4km,2100
康桥水郡,海淀,2,2,2,126.1㎡,中层(共14层),2013年建造,南北,距10号线长春桥步行1.4km,2100
裕泽园,海淀,5,2,3,233.6㎡,高层(共7层),2004年建造,南北,距10号线慈寿寺步行796m,2336
富力城(E区),朝阳,5,2,4,357.5㎡,高层(共6层),2010年建造,南北,距10号线双井步行1.3km,3600
世茂北京天誉,丰台,4,3,3,150㎡,低层(共9层),2021年建造,南北,距10号线分钟寺步行66m,1450
颐源居,海淀,3,2,2,154.9㎡,中层(共16层),2001年建造,南北,距10号线公主坟步行1.5km,1950
枫竹苑(二区),丰台,3,2,2,126㎡,中层(共15层),2003年建造,南北,距10号线角门西步行1.5km,860
乐成国际,朝阳,2,1,1,108.8㎡,中层(共19层),2007年建造,南,距10号线双井步行1km,1148
锦湖园公寓(朝阳),朝阳,2,1,2,118㎡,低层(共26层),2000年建造,北,距10号线团结湖步行790m,660
华澳中心公寓,海淀,1,1,1,107㎡,低层(共26层),,北,距10号线车道沟步行1.4km,900
远大园一区,海淀,4,2,3,277.5㎡,高层(共11层),2002年建造,南北,距10号线长春桥步行1.5km,2730
远大园一区,海淀,4,2,3,277.5㎡,高层(共11层),2002年建造,南北,距10号线长春桥步行1.5km,2730
远大园一区,海淀,4,2,3,277.5㎡,高层(共11层),2002年建造,南北,距10号线长春桥步行1.5km,2730
