name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
沿海赛洛城(北区),朝阳,2,2,1,89.4㎡,低层(共9层),2006年建造,南北,距7号线百子湾步行1km,618
百子湾家园(A区),朝阳,2,1,2,112㎡,高层(共16层),2008年建造,南北,距7号线百子湾步行1.7km,590
沿海赛洛城(北区),朝阳,2,2,1,89.4㎡,低层(共9层),2008年建造,南北,距7号线百子湾步行1km,618
首城国际,朝阳,3,1,1,89.1㎡,低层(共28层),2010年建造,南北,距7号线双井步行541m,930
富力城(A区),朝阳,2,2,1,86.5㎡,低层(共30层),2006年建造,西北,距7号线双井步行544m,913
首城国际,朝阳,2,2,1,88.2㎡,低层(共28层),2010年建造,南,距7号线双井步行541m,980
首城国际,朝阳,2,1,1,88㎡,中层(共20层),2010年建造,南,距7号线双井步行541m,990
首城国际,朝阳,2,1,1,90.9㎡,低层(共28层),2010年建造,南,距7号线双井步行541m,940
富力又一城(C区),朝阳,2,1,1,90㎡,低层(共21层),2011年建造,南北,距7号线黄厂步行526m,485
梵悦108,朝阳,1,2,1,97㎡,中层(共15层),2021年建造,南北,距7号线双井步行1.9km,1060
康乐里小区,西城,2,2,1,95.5㎡,高层(共12层),1999年建造,东,距7号线广安门内步行1.2km,1380
康乐里小区,西城,2,2,1,95.5㎡,高层(共12层),1999年建造,东,距7号线广安门内步行1.2km,1380
陶然北岸韵竹园,西城,2,1,1,91.8㎡,低层(共18层),2005年建造,东,距7号线虎坊桥步行726m,1130
前门前小区,东城,4,2,2,89.7㎡,高层(共7层),2009年建造,南北,距7号线桥湾步行278m,930
牛街东里小区,西城,2,1,1,81.2㎡,中层(共19层),1999年建造,西北,距7号线菜市口步行890m,715
华腾园,朝阳,2,1,1,99.6㎡,高层(共28层),2002年建造,东南,距7号线双井步行778m,725
首城国际,朝阳,2,1,1,90.9㎡,中层(共28层),2010年建造,南,距7号线双井步行541m,999
富力又一城(C区),朝阳,2,1,1,89㎡,中层(共27层),2010年建造,南北,距7号线黄厂步行526m,468.5
富力又一城(B区),朝阳,2,1,1,82㎡,高层(共26层),2007年建造,西北,距7号线黄厂步行941m,423
首城国际,朝阳,2,2,1,89.6㎡,高层(共28层),2010年建造,东南,距7号线双井步行541m,970
富力又一城(C区),朝阳,2,1,1,86㎡,高层(共27层),2010年建造,东,距7号线黄厂步行526m,465
