name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
首创禧瑞都,朝阳,4,2,3,378.2㎡,中层(共26层),,南北,距6号线呼家楼步行999m,6300
珠江罗马嘉园(西区),朝阳,2,1,1,95.3㎡,共4层,2010年建造,南,距6号线青年路步行630m,585
万方家园(朝阳),朝阳,2,1,1,84.3㎡,中层(共6层),2006年建造,南北,距6号线黄渠步行1.3km,399
苹果派,朝阳,2,1,1,82.8㎡,中层(共11层),2007年建造,南,距6号线黄渠步行863m,535
炫特区,朝阳,2,1,1,87.6㎡,低层(共28层),2006年建造,西南,距6号线十里堡步行1.2km,599
国美第一城3号院,朝阳,2,2,1,97㎡,低层(共31层),2000年建造,南北,距6号线青年路步行1.4km,620
北京新天地(东区),朝阳,2,2,1,91.8㎡,低层(共28层),2011年建造,南,距6号线常营步行1.9km,495
北京新天地(东区),朝阳,2,1,1,91.2㎡,低层(共28层),2010年建造,南,距6号线常营步行1.9km,480
晨光家园A区,朝阳,2,1,1,86.3㎡,低层(共30层),2000年建造,西北,距6号线十里堡步行635m,499
北京新天地(东区),朝阳,2,2,1,91.7㎡,低层(共26层),2010年建造,南,距6号线常营步行1.9km,490
增光佳苑,海淀,1,1,1,81.6㎡,高层(共11层),2005年建造,西,距6号线白石桥南步行492m,770
西城晶华,西城,2,2,1,94.5㎡,高层(共11层),2008年建造,东西,距6号线平安里步行1.6km,1550
珠江罗马嘉园(西区),朝阳,2,1,1,99.3㎡,高层(共17层),2015年建造,南,距6号线青年路步行630m,810
瑞士公寓,东城,2,1,1,90㎡,高层(共17层),2007年建造,北,距6号线朝阳门步行1.6km,850
车公庄西路20号院,海淀,2,1,1,57.3㎡,共5层,1975年建造,东西,距6号线白石桥南步行376m,660
五路居137号院,海淀,2,1,1,54.3㎡,共5层,1992年建造,南北,距6号线海淀五路居步行673m,490
车公庄西路20号院,海淀,2,1,1,57.3㎡,共5层,1975年建造,东西,距6号线白石桥南步行376m,660
北京新天地(东区),朝阳,2,1,1,94.4㎡,高层(共28层),2009年建造,西南,距6号线常营步行1.9km,518
柏林爱乐(二期),朝阳,2,1,1,93.3㎡,高层(共21层),2007年建造,东北,距6号线黄渠步行943m,470
北京新天地(东区),朝阳,2,2,1,93㎡,高层(共26层),2009年建造,南,距6号线常营步行1.9km,555
管庄北二里小区,朝阳,3,1,1,89.8㎡,低层(共28层),2015年建造,南北,距6号线常营步行1.2km,520
碧桐园,海淀,3,1,2,53.8㎡,高层(共6层),2008年建造,南北,距6号线廖公庄步行539m,365
月坛北小街,西城,2,1,1,56.1㎡,高层(共6层),1993年建造,南北,距6号线车公庄西步行1.4km,760
八里庄北里小区,朝阳,2,1,1,66.3㎡,中层(共6层),1998年建造,东西,距6号线十里堡步行336m,345
北京印象,海淀,1,1,1,85.5㎡,高层(共11层),2003年建造,南,距6号线海淀五路居步行994m,800
甘家口小区,海淀,2,1,1,65.2㎡,中层(共11层),1996年建造,东南,距6号线白石桥南步行1.1km,715
增光路40号院,海淀,2,1,1,59.2㎡,低层(共6层),1983年建造,南北,距6号线白石桥南步行817m,755
水碓子西里,朝阳,2,1,1,47.9㎡,低层(共6层),1981年建造,南,距6号线呼家楼步行920m,335
柏林爱乐(一期),朝阳,3,2,2,151.1㎡,高层(共7层),2004年建造,南北,距6号线黄渠步行972m,818
建东苑(西区),朝阳,3,2,1,111.7㎡,中层(共6层),2005年建造,南北,距6号线黄渠步行1.8km,540
琨御府,海淀,3,2,2,153.7㎡,中层(共6层),2016年建造,南北,距6号线慈寿寺步行1km,2270
柏林爱乐(三期),朝阳,3,1,1,113.4㎡,中层(共11层),2007年建造,南北,距6号线黄渠步行1.1km,669
北礼士路乙56号小区,西城,3,1,1,77.7㎡,低层(共12层),1997年建造,东,距6号线车公庄步行219m,935
美然动力街区A3区,朝阳,3,2,2,121㎡,高层(共6层),2002年建造,南北,距6号线褡裢坡步行961m,550
远洋天地,朝阳,1,1,1,83.4㎡,高层(共26层),2004年建造,西,距6号线十里堡步行1.7km,630
延静里小区,朝阳,2,1,1,54.1㎡,中层(共6层),1983年建造,南北,距6号线金台路步行498m,345
瑞新里小区,海淀,1,0,1,45.4㎡,中层(共10层),2007年建造,西北,距6号线海淀五路居步行640m,496
瑞新里小区,海淀,1,0,1,45.4㎡,中层(共10层),2007年建造,西北,距6号线海淀五路居步行640m,496
远洋天地,朝阳,2,2,2,116.3㎡,低层(共30层),2002年建造,西南,距6号线十里堡步行1.7km,765
景宜里,海淀,2,2,2,114㎡,高层(共9层),2004年建造,南北,距6号线田村步行433m,860
玉泉新城,石景山,3,2,2,151㎡,中层(共11层),2005年建造,南北,距6号线田村步行1.5km,1200
金台里,朝阳,3,1,1,75.8㎡,高层(共7层),1993年建造,南北,距6号线金台路步行718m,430
石佛营东里小区,朝阳,1,1,1,47.9㎡,高层(共6层),1997年建造,南北,距6号线十里堡步行1.4km,288
锦湖园公寓(朝阳),朝阳,2,1,2,118㎡,低层(共26层),2000年建造,北,距6号线呼家楼步行826m,660
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距6号线东大桥步行1.6km,1300
润枫水尚(东区),朝阳,2,2,2,118.9㎡,低层(共10层),,南北,距6号线青年路步行895m,1100
金顶街四区,石景山,2,1,1,72㎡,低层(共6层),1999年建造,南北,距6号线苹果园步行875m,395
润枫水尚(东区),朝阳,2,2,1,122㎡,低层(共15层),2000年建造,南北,距6号线青年路步行895m,950
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距6号线东大桥步行1.6km,1300
海澜中苑,海淀,2,1,1,79㎡,低层(共6层),2006年建造,南北,距6号线田村步行1.3km,450
