name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
金胜嘉园,西城,3,1,1,92.3㎡,低层(共12层),2011年建造,南北,距2号线积水潭步行1km,1660
西城晶华,西城,2,2,1,94.5㎡,高层(共11层),2008年建造,东西,距2号线阜成门步行1.1km,1550
瑞士公寓,东城,2,1,1,90㎡,高层(共17层),2007年建造,北,距2号线东四十条步行719m,850
康乐里小区,西城,2,2,1,95.5㎡,高层(共12层),1999年建造,东,距2号线长椿街步行798m,1380
康乐里小区,西城,2,2,1,95.5㎡,高层(共12层),1999年建造,东,距2号线长椿街步行798m,1380
陶然北岸韵竹园,西城,2,1,1,91.8㎡,低层(共18层),2005年建造,东,距2号线和平门步行1.9km,1130
华远北街小区,西城,3,1,1,82.7㎡,高层(共17层),2001年建造,东西,距2号线宣武门步行1.7km,1250
前门前小区,东城,4,2,2,89.7㎡,高层(共7层),2009年建造,南北,距2号线前门步行1.7km,930
牛街东里小区,西城,2,1,1,81.2㎡,中层(共19层),1999年建造,西北,距2号线长椿街步行1.6km,715
万国城MOMA,东城,2,2,1,97㎡,高层(共30层),2006年建造,西,距2号线东直门步行1.2km,1200
志强南园,海淀,2,1,1,58.1㎡,中层(共6层),1987年建造,南北,距2号线积水潭步行814m,480
月坛北小街,西城,2,1,1,56.1㎡,高层(共6层),1993年建造,南北,距2号线阜成门步行1.2km,760
新壁街小区,西城,2,1,1,58.3㎡,高层(共6层),2004年建造,南北,距2号线和平门步行665m,820
前门前小区,东城,2,1,1,75.6㎡,高层(共6层),2009年建造,南北,距2号线前门步行1.7km,858
本家润园(A区),东城,3,2,2,155.5㎡,中层(共11层),2004年建造,南北,距2号线建国门步行1.8km,1750
北礼士路乙56号小区,西城,3,1,1,77.7㎡,低层(共12层),1997年建造,东,距2号线车公庄步行333m,935
华荣公寓,西城,3,2,2,263㎡,低层(共10层),2005年建造,南北,距2号线复兴门步行894m,4000
枫桦豪景,西城,2,1,1,122.6㎡,中层(共15层),2001年建造,南北,距2号线宣武门步行1.7km,1770
中海枫丹公馆,朝阳,2,1,2,145㎡,中层(共14层),2016年建造,东北,距2号线建国门步行905m,1680
槐柏树后街小区,西城,3,1,2,101.9㎡,高层(共6层),1998年建造,南北,距2号线长椿街步行413m,1050
中海枫丹公馆,朝阳,3,2,2,166.7㎡,中层(共14层),2016年建造,东西,距2号线建国门步行905m,1800
信恒大厦,西城,2,1,2,111.1㎡,低层(共25层),2003年建造,东西,距2号线长椿街步行1.3km,910
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距2号线东四十条步行1.4km,1300
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距2号线东四十条步行1.4km,1300
百万庄大街7号院,西城,1,1,1,36.1㎡,中层(共6层),1977年建造,南,距2号线车公庄步行695m,620
枫桦豪景,西城,1,1,1,65㎡,中层(共12层),2001年建造,南,距2号线宣武门步行1.7km,880
上国阙,西城,3,2,2,163㎡,中层(共21层),2020年建造,南北,距2号线宣武门步行561m,2398
塔院胡同小区,西城,2,1,1,54.5㎡,低层(共6层),1980年建造,南北,距2号线积水潭步行1.5km,920
霞公府,东城,4,2,4,351.2㎡,中层(共7层),2015年建造,南北,距2号线崇文门步行1.7km,5200
霞公府,东城,4,2,3,443.6㎡,高层(共6层),2020年建造,南北,距2号线崇文门步行1.7km,5780
万国城MOMA,东城,3,2,3,253㎡,低层(共30层),2006年建造,南北,距2号线东直门步行1.2km,2600
新怡家园,东城,3,2,2,156.1㎡,低层(共15层),2004年建造,南北,距2号线崇文门步行692m,1780
校场五条小区,西城,1,0,0,13.4㎡,共1层,2003年建造,南北,距2号线宣武门步行693m,240
枫桦豪景,西城,1,1,1,67.3㎡,中层(共16层),2003年建造,西北,距2号线宣武门步行1.7km,750
新怡家园,东城,2,1,2,132.3㎡,高层(共15层),2004年建造,南,距2号线崇文门步行692m,1850
美惠大厦,东城,3,1,2,177.9㎡,高层(共15层),1998年建造,东,距2号线东四十条步行736m,1100
长安太和,东城,3,2,2,217㎡,高层(共15层),2018年建造,南北,距2号线北京站步行900m,2600
远洋风景,海淀,3,2,2,152.2㎡,高层(共13层),2002年建造,东南,距2号线积水潭步行1.2km,1300
铂晶豪庭,东城,3,2,2,158.5㎡,高层(共12层),2011年建造,西南,距2号线东直门步行771m,1480
月坛北小街,西城,3,1,1,104.9㎡,高层(共14层),1973年建造,南北,距2号线阜成门步行1.2km,1400
头发胡同小区,西城,1,0,0,23.8㎡,共1层,2007年建造,南,距2号线宣武门步行521m,320
丰汇园小区,西城,4,2,2,153.1㎡,高层(共6层),1999年建造,南北,距2号线阜成门步行1.8km,2470
丰汇园小区,西城,4,2,2,153.1㎡,高层(共6层),1999年建造,南北,距2号线阜成门步行1.8km,2470
丰汇园小区,西城,4,2,2,153.1㎡,高层(共6层),1999年建造,南北,距2号线阜成门步行1.8km,2470
新怡家园,东城,3,1,2,154.6㎡,高层(共11层),2006年建造,南北,距2号线崇文门步行692m,2450
新世界太华公寓,东城,1,0,1,65㎡,低层(共19层),1999年建造,北,距2号线崇文门步行756m,455
东直门北小街2号小区,东城,2,2,3,222.1㎡,中层(共19层),2003年建造,南北,距2号线雍和宫步行893m,1515
三里屯SOHO公寓,朝阳,2,1,2,153.6㎡,高层(共28层),2010年建造,西北,距2号线东四十条步行1.9km,1070
长安太和,东城,2,2,2,173㎡,中层(共27层),2012年建造,北,距2号线北京站步行900m,2048
通用时代国际公寓,朝阳,3,2,2,239.3㎡,中层(共32层),2007年建造,西南,距2号线建国门步行1.6km,2000
通用时代国际公寓,朝阳,3,2,2,239.3㎡,中层(共32层),2007年建造,西南,距2号线建国门步行1.6km,2000
新怡家园,东城,4,2,2,190.9㎡,低层(共11层),2004年建造,南北,距2号线崇文门步行692m,2760
金晖嘉园,海淀,4,2,3,265.6㎡,低层(共9层),,东南,距2号线西直门步行970m,3000
文慧园,海淀,1,1,1,52.9㎡,中层(共21层),2004年建造,东北,距2号线积水潭步行1.2km,480
